name,count,rank
"like","199",1
"love","150",2
"major","129",3
"looking","79",4
"music","63",5
"hi","55",6
"dont","48",7
"food","47",8
"year","45",9
"new","41",10
"time","39",11
"fun","38",12
"good","37",13
"get","36",14
"know","36",15
"write","35",16
"math","34",17
"friends","33",18
"someone","33",19
"coffee","28",20
"one","27",21
"trying","27",22
"hello","26",23
"really","26",24
"big","26",25
"bio","26",26
"want","25",27
"uchicago","25",28
"dog","24",29
"econ","23",30